Tournament,Stage,Match Type,Match Name,Map,Team A,Team A Score,Team A Attacker Score,Team A Defender Score,Team A Overtime Score,Team B,Team B Score,Team B Attacker Score,Team B Defender Score,Team B Overtime Score,Duration
Champions Tour 2025: Masters Bangkok,Swiss Stage,Round 1,EDward Gaming vs Team Liquid,Split,EDward Gaming,18,6,6,6,Team Liquid,16,6,6,4,1:35:46
Champions Tour 2025: Masters Bangkok,Swiss Stage,Round 1,EDward Gaming vs Team Liquid,Pearl,EDward Gaming,13,7,6,,Team Liquid,6,1,5,,44:31
Champions Tour 2025: Masters Bangkok,Swiss Stage,Round 1,DRX vs Sentinels,Lotus,DRX,13,9,4,,Sentinels,3,0,3,,45:20
Champions Tour 2025: Masters Bangkok,Swiss Stage,Round 1,DRX vs Sentinels,Haven,DRX,13,6,7,,Sentinels,10,4,6,,50:13
Champions Tour 2025: Masters Bangkok,Swiss Stage,Round 1,Team Vitality vs T1,Fracture,Team Vitality,13,5,8,,T1,10,3,7,,1:02:22
Champions Tour 2025: Masters Bangkok,Swiss Stage,Round 1,Team Vitality vs T1,Bind,Team Vitality,13,7,6,,T1,9,4,5,,51:56
Champions Tour 2025: Masters Bangkok,Swiss Stage,Round 1,G2 Esports vs Trace Esports,Lotus,G2 Esports,13,7,6,,Trace Esports,8,3,5,,47:38
Champions Tour 2025: Masters Bangkok,Swiss Stage,Round 1,G2 Esports vs Trace Esports,Abyss,G2 Esports,13,9,4,,Trace Esports,3,0,3,,36:36
Champions Tour 2025: Masters Bangkok,Swiss Stage,Round 2 (1-0),DRX vs Team Vitality,Bind,DRX,8,4,4,,Team Vitality,13,5,8,,58:50
Champions Tour 2025: Masters Bangkok,Swiss Stage,Round 2 (1-0),DRX vs Team Vitality,Abyss,DRX,13,6,7,,Team Vitality,11,5,6,,51:55
Champions Tour 2025: Masters Bangkok,Swiss Stage,Round 2 (1-0),DRX vs Team Vitality,Split,DRX,11,6,5,,Team Vitality,13,7,6,,57:01
Champions Tour 2025: Masters Bangkok,Swiss Stage,Round 2 (1-0),EDward Gaming vs G2 Esports,Pearl,EDward Gaming,16,6,6,4,G2 Esports,18,6,6,6,1:21:52
Champions Tour 2025: Masters Bangkok,Swiss Stage,Round 2 (1-0),EDward Gaming vs G2 Esports,Bind,EDward Gaming,13,8,5,,G2 Esports,8,4,4,,43:40
Champions Tour 2025: Masters Bangkok,Swiss Stage,Round 2 (1-0),EDward Gaming vs G2 Esports,Fracture,EDward Gaming,13,11,2,,G2 Esports,4,3,1,,35:06
Champions Tour 2025: Masters Bangkok,Swiss Stage,Round 2 (0-1),T1 vs Trace Esports,Lotus,T1,13,9,4,,Trace Esports,3,0,3,,45:37
Champions Tour 2025: Masters Bangkok,Swiss Stage,Round 2 (0-1),T1 vs Trace Esports,Haven,T1,13,6,7,,Trace Esports,8,2,6,,42:04
Champions Tour 2025: Masters Bangkok,Swiss Stage,Round 2 (0-1),Team Liquid vs Sentinels,Lotus,Team Liquid,7,5,2,,Sentinels,13,6,7,,53:41
Champions Tour 2025: Masters Bangkok,Swiss Stage,Round 2 (0-1),Team Liquid vs Sentinels,Abyss,Team Liquid,16,7,5,4,Sentinels,14,7,5,2,1:02:50
Champions Tour 2025: Masters Bangkok,Swiss Stage,Round 2 (0-1),Team Liquid vs Sentinels,Bind,Team Liquid,13,11,2,,Sentinels,1,0,1,,30:20
